Username,Comment,Normalisasi,Tokenization,Stopwords,Stemming
@HendrikWirjana,2,,[],[],
@NaniPancing,Suka liat video pasca pilpres...02🎉,suka lihat video pasca pilpres,"['suka', 'lihat', 'video', 'pasca', 'pilpres']","['suka', 'lihat', 'video', 'pasca', 'pilpres']",suka lihat video pasca pilpres
@BulanMerindu-r1f,Bismillah  Ya Allah  semoga Allah swt    03 1menang  AAamiinn Ya robbal Alamiinn 🎁🎀🎈,bismillah ya allah semoga allah swt 1menang aaamiinn ya robbal alamiinn,"['bismillah', 'ya', 'allah', 'semoga', 'allah', 'swt', '1menang', 'aaamiinn', 'ya', 'robbal', 'alamiinn']","['bismillah', 'allah', 'semoga', 'allah', 'swt', '1menang', 'aaamiinn', 'robbal', 'alamiinn']",bismillah allah moga allah swt 1menang aaamiinn robbal alamiinn
@MuhammadSalehBangko548,Daerah Aceh laut biru 25.00,daerah aceh laut biru,"['daerah', 'aceh', 'laut', 'biru']","['daerah', 'aceh', 'laut', 'biru']",daerah aceh laut biru
@MuhammadSalehBangko548,110 laut biru pak,laut biru pak,"['laut', 'biru', 'pak']","['laut', 'biru']",laut biru
@MuhammadSalehBangko548,Dari balikpapan 21.00 laut biru,dari balikpapan laut biru,"['dari', 'balikpapan', 'laut', 'biru']","['balikpapan', 'laut', 'biru']",balikpapan laut biru
@MuhammadSalehBangko548,Masuk lagi laut biru 27.00 jumlahnya,masuk lagi laut biru jumlahnya,"['masuk', 'lagi', 'laut', 'biru', 'jumlahnya']","['masuk', 'laut', 'biru']",masuk laut biru
@MuhammadSalehBangko548,Kalimantan Timur daerah bontang 57.00,kalimantan timur daerah bontang,"['kalimantan', 'timur', 'daerah', 'bontang']","['kalimantan', 'timur', 'daerah', 'bontang']",kalimantan timur daerah bontang
@MuhammadSalehBangko548,4822 partai gerindra jumlahnya 57.00,partai gerindra jumlahnya,"['partai', 'gerindra', 'jumlahnya']","['partai', 'gerindra']",partai gerindra
@MuhammadSalehBangko548,Misinya laut biru,misinya laut biru,"['misinya', 'laut', 'biru']","['misinya', 'laut', 'biru']",misi laut biru
@MuhammadSalehBangko548,Bantuan pembangunan bang untuk yg punya lahan bang,bantuan pembangunan abang untuk yang punya lahan abang,"['bantuan', 'pembangunan', 'abang', 'untuk', 'yang', 'punya', 'lahan', 'abang']","['bantuan', 'pembangunan', 'abang', 'lahan', 'abang']",bantu bangun abang lahan abang
@wisyoyoyo4276,Sedihg 16,sedihg,['sedihg'],['sedihg'],sedihg
@yopinacantik3756,Berarti belum keluar anggota DPR-RI terbanyak,berarti belum keluar anggota dprri terbanyak,"['berarti', 'belum', 'keluar', 'anggota', 'dprri', 'terbanyak']","['anggota', 'dprri']",anggota dprri
@yopinacantik3756,Koalisi terbanyak,koalisi terbanyak,"['koalisi', 'terbanyak']",['koalisi'],koalisi
@RagatOke2015,Anies Baswedan caimin menang,anies baswedan caimin menang,"['anies', 'baswedan', 'caimin', 'menang']","['anies', 'baswedan', 'caimin', 'menang']",anies baswedan caimin menang
@Maisarah-p3i,Alhmdulillah alhmdulillah ya allah amiiin.,alhmdulillah alhmdulillah ya allah amin,"['alhmdulillah', 'alhmdulillah', 'ya', 'allah', 'amin']","['alhmdulillah', 'alhmdulillah', 'allah', 'amin']",alhmdulillah alhmdulillah allah amin
@hartaman6995,Memang 01 angkuh  dan haus jabatan dari bahasanya,memang angkuh dan haus jabatan dari bahasanya,"['memang', 'angkuh', 'dan', 'haus', 'jabatan', 'dari', 'bahasanya']","['angkuh', 'haus', 'jabatan', 'bahasanya']",angkuh haus jabat bahasa
@hrnet790,"quick count pembohongan publik yang benar hasil KPU 20 maret 2024  jangan mau di bohongi quick count pakai akal waras,,,",quick count pembohongan publik yang benar hasil kpu maret jangan mau di bohongi quick count pakai akal waras,"['quick', 'count', 'pembohongan', 'publik', 'yang', 'benar', 'hasil', 'kpu', 'maret', 'jangan', 'mau', 'di', 'bohongi', 'quick', 'count', 'pakai', 'akal', 'waras']","['quick', 'count', 'pembohongan', 'publik', 'hasil', 'kpu', 'maret', 'bohongi', 'quick', 'count', 'pakai', 'akal', 'waras']",quick count bohong publik hasil kpu maret bohong quick count pakai akal waras
@denmet-g4f,02 matap mat terus ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,matap mat terus,"['matap', 'mat', 'terus']","['matap', 'mat']",matap mat
@assyifa8165,Alhamdulillah gusti.... Pak prabowo unggul 1 putaran 🤲,alhamdulillah gusti pak prabowo unggul putaran,"['alhamdulillah', 'gusti', 'pak', 'prabowo', 'unggul', 'putaran']","['alhamdulillah', 'gusti', 'prabowo', 'unggul', 'putaran']",alhamdulillah gusti prabowo unggul putar
@boynatamegelli7258,"Bagi presiden selanjutnya ,tolong kemanan negeri ini lebih diperbaiki karena banyak anak kosong yang merusak kesatuan yang suka menumpah darahkan saudaranya setanah air,sangat meresahkan keamanan negeri ini rapuh ,serapuh pondasi negeri yang banyak digerogoti koruptor",bagi presiden selanjutnya tolong kemanan negeri ini lebih diperbaiki karena banyak anak kosong yang merusak kesatuan yang suka menumpah darahkan saudaranya setanah airsangat meresahkan keamanan negeri ini rapuh serapuh pondasi negeri yang banyak digerogoti koruptor,"['bagi', 'presiden', 'selanjutnya', 'tolong', 'kemanan', 'negeri', 'ini', 'lebih', 'diperbaiki', 'karena', 'banyak', 'anak', 'kosong', 'yang', 'merusak', 'kesatuan', 'yang', 'suka', 'menumpah', 'darahkan', 'saudaranya', 'setanah', 'airsangat', 'meresahkan', 'keamanan', 'negeri', 'ini', 'rapuh', 'serapuh', 'pondasi', 'negeri', 'yang', 'banyak', 'digerogoti', 'koruptor']","['presiden', 'tolong', 'kemanan', 'negeri', 'diperbaiki', 'anak', 'kosong', 'merusak', 'kesatuan', 'suka', 'menumpah', 'darahkan', 'saudaranya', 'setanah', 'airsangat', 'meresahkan', 'keamanan', 'negeri', 'rapuh', 'serapuh', 'pondasi', 'negeri', 'digerogoti', 'koruptor']",presiden tolong keman negeri baik anak kosong rusak satu suka tumpah darah saudara tanah airsangat resah aman negeri rapuh rapuh pondasi negeri gerogot koruptor
@RuhSejati-r4b,Yg sombong pasti akan tumbang....,yang sombong pasti akan tumbang,"['yang', 'sombong', 'pasti', 'akan', 'tumbang']","['sombong', 'tumbang']",sombong tumbang
@Nurhayati-zt9bv,"Tuh PDIP menang Gerindra tdk protes curang , soalnya legowo  , menerima kekalahan , dasar dari PDIPnya hatinya busuk terhadap Gerindra tdk boleh Gerindra menang , nanti kalau Gerindra menang pasti deh di bilang curang .Berarti tdk punya jiwa kenegarawan bagi PDIP sebab menuduh curang dan tdk legowo menerima kekalahan",tuh pdip menang gerindra tidak protes curang soalnya legowo menerima kekalahan dasar dari pdipnya hatinya busuk terhadap gerindra tidak boleh gerindra menang nanti kalau gerindra menang pasti deh di bilang curang berarti tidak punya jiwa kenegarawan bagi pdip sebab menuduh curang dan tidak legowo menerima kekalahan,"['tuh', 'pdip', 'menang', 'gerindra', 'tidak', 'protes', 'curang', 'soalnya', 'legowo', 'menerima', 'kekalahan', 'dasar', 'dari', 'pdipnya', 'hatinya', 'busuk', 'terhadap', 'gerindra', 'tidak', 'boleh', 'gerindra', 'menang', 'nanti', 'kalau', 'gerindra', 'menang', 'pasti', 'deh', 'di', 'bilang', 'curang', 'berarti', 'tidak', 'punya', 'jiwa', 'kenegarawan', 'bagi', 'pdip', 'sebab', 'menuduh', 'curang', 'dan', 'tidak', 'legowo', 'menerima', 'kekalahan']","['tuh', 'pdip', 'menang', 'gerindra', 'protes', 'curang', 'legowo', 'menerima', 'kekalahan', 'dasar', 'pdipnya', 'hatinya', 'busuk', 'gerindra', 'gerindra', 'menang', 'gerindra', 'menang', 'deh', 'bilang', 'curang', 'jiwa', 'kenegarawan', 'pdip', 'menuduh', 'curang', 'legowo', 'menerima', 'kekalahan']",tuh pdip menang gerindra protes curang legowo terima kalah dasar pdipnya hati busuk gerindra gerindra menang gerindra menang deh bilang curang jiwa kenegarawan pdip tuduh curang legowo terima kalah
@RisyanaPutriBalkis,Wakulja alhakku wahazakal batil innal batila kanazahika.,wakulja alhakku wahazakal batil innal batila kanazahika,"['wakulja', 'alhakku', 'wahazakal', 'batil', 'innal', 'batila', 'kanazahika']","['wakulja', 'alhakku', 'wahazakal', 'batil', 'innal', 'batila', 'kanazahika']",wakulja alhakku wahazakal batil innal batila kanazahika
@ErnaWahyuningsihErna,Sirekap alibaba,sirekap alibaba,"['sirekap', 'alibaba']","['sirekap', 'alibaba']",sirekap alibaba
@ogan8881,"Yang gawal dan melihat orang nya kebanyakanabok  hasil kalah berkoar-koar  di mana  ente di TPS ,apa dirimah  janda",yang gawal dan melihat orang ya kebanyakanabok hasil kalah berkoarkoar di mana ente di tps apa dirimah janda,"['yang', 'gawal', 'dan', 'melihat', 'orang', 'ya', 'kebanyakanabok', 'hasil', 'kalah', 'berkoarkoar', 'di', 'mana', 'ente', 'di', 'tps', 'apa', 'dirimah', 'janda']","['gawal', 'orang', 'kebanyakanabok', 'hasil', 'kalah', 'berkoarkoar', 'ente', 'tps', 'dirimah', 'janda']",gawal orang kebanyakanabok hasil kalah berkoarkoar ente tps dirimah janda
@ogan8881,Mana yang gawal sakit ya ohno,mana yang gawal sakit ya ohno,"['mana', 'yang', 'gawal', 'sakit', 'ya', 'ohno']","['gawal', 'sakit', 'ohno']",gawal sakit ohno
@AmirulMuslimin-s7g,"Maaf parah politisi jangan sekali kali mengotorkan raknyat Indonesia ,yg kalah jangan mengadodomba raknyat yg kalah tulah yg tidak puas karena pakai otak kotor baik mahasiswa mau pun guru besar elit politik yg kalah karena kotor otaknya harus dicuci pakai oil",maaf parah politisi jangan sekali kali mengotorkan raknyat indonesia yang kalah jangan mengadodomba raknyat yang kalah tulah yang tidak puas karena pakai otak kotor baik mahasiswa mau pun guru besar elit politik yang kalah karena kotor otaknya harus dicuci pakai oil,"['maaf', 'parah', 'politisi', 'jangan', 'sekali', 'kali', 'mengotorkan', 'raknyat', 'indonesia', 'yang', 'kalah', 'jangan', 'mengadodomba', 'raknyat', 'yang', 'kalah', 'tulah', 'yang', 'tidak', 'puas', 'karena', 'pakai', 'otak', 'kotor', 'baik', 'mahasiswa', 'mau', 'pun', 'guru', 'besar', 'elit', 'politik', 'yang', 'kalah', 'karena', 'kotor', 'otaknya', 'harus', 'dicuci', 'pakai', 'oil']","['maaf', 'parah', 'politisi', 'kali', 'mengotorkan', 'raknyat', 'indonesia', 'kalah', 'mengadodomba', 'raknyat', 'kalah', 'tulah', 'puas', 'pakai', 'otak', 'kotor', 'mahasiswa', 'guru', 'elit', 'politik', 'kalah', 'kotor', 'otaknya', 'dicuci', 'pakai', 'oil']",maaf parah politis kali kotor raknyat indonesia kalah mengadodomba raknyat kalah tulah puas pakai otak kotor mahasiswa guru elit politik kalah kotor otak cuci pakai oil
@EDISONMANUKOY-ge8uc,Ko gak mau ngaku kalah😂😂😂😂😂😂😂😮😮😮,kok tidak mau mengaku kalah,"['kok', 'tidak', 'mau', 'mengaku', 'kalah']","['mengaku', 'kalah']",aku kalah
@Tahrim-h5l,masi bertobatlah masi bertobatlah mana ni suaranya 01 03 masi blom puas dgn kekalahanya salam ✌️😊,masih bertobatlah masih bertobatlah mana nih suaranya masih belum puas dengan kekalahanya salam,"['masih', 'bertobatlah', 'masih', 'bertobatlah', 'mana', 'nih', 'suaranya', 'masih', 'belum', 'puas', 'dengan', 'kekalahanya', 'salam']","['bertobatlah', 'bertobatlah', 'nih', 'suaranya', 'puas', 'kekalahanya', 'salam']",tobat tobat nih suara puas kekalahanya salam
@BONAJAYAcom,"Kalau bicara bersih dari ke tiga  paslon tidak ada yg bersih boss.... Tim sukses nya masing&quot; paslon Selalu dengan politik uang,, akui saja memang 02 juara nya,<br>Nex jgn merendahkan mempermalukan lawan di muka umum,, ingat ingat rakyat sdh cerdas,,",kalau bicara bersih dari ke tiga paslon tidak ada yang bersih bos tim sukses ya masing paslon selalu dengan politik uang akui saja memang juara nyanex jangan merendahkan mempermalukan lawan di muka umum ingat ingat rakyat sudah cerdas,"['kalau', 'bicara', 'bersih', 'dari', 'ke', 'tiga', 'paslon', 'tidak', 'ada', 'yang', 'bersih', 'bos', 'tim', 'sukses', 'ya', 'masing', 'paslon', 'selalu', 'dengan', 'politik', 'uang', 'akui', 'saja', 'memang', 'juara', 'nyanex', 'jangan', 'merendahkan', 'mempermalukan', 'lawan', 'di', 'muka', 'umum', 'ingat', 'ingat', 'rakyat', 'sudah', 'cerdas']","['bicara', 'bersih', 'paslon', 'bersih', 'bos', 'tim', 'sukses', 'paslon', 'politik', 'uang', 'akui', 'juara', 'nyanex', 'merendahkan', 'mempermalukan', 'lawan', 'muka', 'rakyat', 'cerdas']",bicara bersih paslon bersih bos tim sukses paslon politik uang aku juara nyanex rendah malu lawan muka rakyat cerdas
@arifismono7401,Ngecebeeeek  dihitung dengan partsi besar dicaptes  no 2 aja uda unggul maas 😂😂😂🎉,ngecebeeeek dihitung dengan partsi besar dicaptes no saja sudah unggul maas,"['ngecebeeeek', 'dihitung', 'dengan', 'partsi', 'besar', 'dicaptes', 'no', 'saja', 'sudah', 'unggul', 'maas']","['ngecebeeeek', 'dihitung', 'partsi', 'dicaptes', 'no', 'unggul', 'maas']",ngecebeeeek hitung partsi dicaptes no unggul maas
@mcjayawicara4422,"Alhamdulillah ,, Allah menyelamatkan NKRI dari org2 arogan picik oengecut yg tak ngaku kekalahannya. Dan berlindung dgn atas nama rakyat, an Demokrasi, .<br>Ya Allah imhamba beraerah diri dihadapan kekuasaanmu",alhamdulillah allah menyelamatkan nkri dari arogan picik oengecut yang tak mengaku kekalahannya dan berlindung dengan atas nama rakyat an demokrasi ya allah imhamba beraerah diri dihadapan kekuasaanmu,"['alhamdulillah', 'allah', 'menyelamatkan', 'nkri', 'dari', 'arogan', 'picik', 'oengecut', 'yang', 'tak', 'mengaku', 'kekalahannya', 'dan', 'berlindung', 'dengan', 'atas', 'nama', 'rakyat', 'an', 'demokrasi', 'ya', 'allah', 'imhamba', 'beraerah', 'diri', 'dihadapan', 'kekuasaanmu']","['alhamdulillah', 'allah', 'menyelamatkan', 'nkri', 'arogan', 'picik', 'oengecut', 'mengaku', 'kekalahannya', 'berlindung', 'nama', 'rakyat', 'an', 'demokrasi', 'allah', 'imhamba', 'beraerah', 'dihadapan', 'kekuasaanmu']",alhamdulillah allah selamat nkri arogan picik oengecut aku kalah lindung nama rakyat an demokrasi allah imhamba beraerah hadap kuasa
@HpVivoY02-p1f,Siapa pun yg jd presiden tdk akan ngaruh bagi saya,siapa pun yang jadi presiden tidak akan ngaruh bagi saya,"['siapa', 'pun', 'yang', 'jadi', 'presiden', 'tidak', 'akan', 'ngaruh', 'bagi', 'saya']","['presiden', 'ngaruh']",presiden ngaruh
@AbiCinta-v6e,❤❤❤❤ Prabowo gibran,prabowo gibran,"['prabowo', 'gibran']","['prabowo', 'gibran']",prabowo gibran
@IksanIsmail-lm5td,1 cocok yg jdi presiden.,cocok yang jadi presiden,"['cocok', 'yang', 'jadi', 'presiden']","['cocok', 'presiden']",cocok presiden
@PermataBerlian-z9w,Jgn cari alasan... kalau kalah akui saja. Buktinya saat kampaye puan bilang presiden ganjar jawab penonton presiden prabowo. Itu saja sudah terbukti masyarakat sudah tdk memilih ganjar.,jangan cari alasan kalau kalah akui saja buktinya saat kampaye puan bilang presiden ganjar jawab penonton presiden prabowo itu saja sudah terbukti masyarakat sudah tidak memilih ganjar,"['jangan', 'cari', 'alasan', 'kalau', 'kalah', 'akui', 'saja', 'buktinya', 'saat', 'kampaye', 'puan', 'bilang', 'presiden', 'ganjar', 'jawab', 'penonton', 'presiden', 'prabowo', 'itu', 'saja', 'sudah', 'terbukti', 'masyarakat', 'sudah', 'tidak', 'memilih', 'ganjar']","['cari', 'alasan', 'kalah', 'akui', 'buktinya', 'kampaye', 'puan', 'bilang', 'presiden', 'ganjar', 'penonton', 'presiden', 'prabowo', 'terbukti', 'masyarakat', 'memilih', 'ganjar']",cari alas kalah aku bukti kampaye puan bilang presiden ganjar tonton presiden prabowo bukti masyarakat pilih ganjar
@PermataBerlian-z9w,Karena ganjar terlalu angkuh dan sombong. Masyarakat bisa menilai sendiri tdk ada hubungannya dgn jokowi,karena ganjar terlalu angkuh dan sombong masyarakat bisa menilai sendiri tidak ada hubungannya dengan jokowi,"['karena', 'ganjar', 'terlalu', 'angkuh', 'dan', 'sombong', 'masyarakat', 'bisa', 'menilai', 'sendiri', 'tidak', 'ada', 'hubungannya', 'dengan', 'jokowi']","['ganjar', 'angkuh', 'sombong', 'masyarakat', 'menilai', 'hubungannya', 'jokowi']",ganjar angkuh sombong masyarakat nilai hubung jokowi
@kaila7347,jujur ajj kalian klu Anies yg menang ko bisa2 nya salah infut,jujur saja kalian kalau anies yang menang kok bisa2 ya salah infut,"['jujur', 'saja', 'kalian', 'kalau', 'anies', 'yang', 'menang', 'kok', 'bisa2', 'ya', 'salah', 'infut']","['jujur', 'anies', 'menang', 'bisa2', 'salah', 'infut']",jujur anies menang bisa2 salah infut
@Marthen-yh2su,SAYA TIDAK INGIN MEMILIH KARENA KEPALA DESA SEBAB SAYA MEMILIH PRESIDEN DENGAN HATI NURANI SEPERTI JIKA PIALA DUNIA TIM YG SAYA PILIH APAPUN YG TERJADI TETAP PILIH TIM YG SAYA ANDALKAN,saya tidak ingin memilih karena kepala desa sebab saya memilih presiden dengan hati nurani seperti jika piala dunia tim yang saya pilih apapun yang terjadi tetap pilih tim yang saya andalkan,"['saya', 'tidak', 'ingin', 'memilih', 'karena', 'kepala', 'desa', 'sebab', 'saya', 'memilih', 'presiden', 'dengan', 'hati', 'nurani', 'seperti', 'jika', 'piala', 'dunia', 'tim', 'yang', 'saya', 'pilih', 'apapun', 'yang', 'terjadi', 'tetap', 'pilih', 'tim', 'yang', 'saya', 'andalkan']","['memilih', 'kepala', 'desa', 'memilih', 'presiden', 'hati', 'nurani', 'piala', 'dunia', 'tim', 'pilih', 'apapun', 'pilih', 'tim', 'andalkan']",pilih kepala desa pilih presiden hati nurani piala dunia tim pilih apa pilih tim andal
@FajrRi8ii-ou5zy,Curang,curang,['curang'],['curang'],curang
@gatotriyanto4205,HASIL CEPAT YG DI BAYAR WOWO AKAN DI ADILI....RAKUYAT SELURUH INDONESIA SEDANG BERSATU ...AMIN,hasil cepat yang di bayar wowo akan di adili rakuyat seluruh indonesia sedang bersatu amin,"['hasil', 'cepat', 'yang', 'di', 'bayar', 'wowo', 'akan', 'di', 'adili', 'rakuyat', 'seluruh', 'indonesia', 'sedang', 'bersatu', 'amin']","['hasil', 'cepat', 'bayar', 'wowo', 'adili', 'rakuyat', 'indonesia', 'bersatu', 'amin']",hasil cepat bayar wowo adil rakuyat indonesia satu amin
@bagussuryadi8324,Kl membahas wahabi okkkk❤,kalau membahas wahabi okkkk,"['kalau', 'membahas', 'wahabi', 'okkkk']","['membahas', 'wahabi', 'okkkk']",bahas wahabi okkkk
@rusakajor3858,Coba dijumlah hasil %tase dari ketiga capres hasilnya jadi berapa %,coba dijumlah hasil tase dari ketiga capres hasilnya jadi berapa,"['coba', 'dijumlah', 'hasil', 'tase', 'dari', 'ketiga', 'capres', 'hasilnya', 'jadi', 'berapa']","['coba', 'dijumlah', 'hasil', 'tase', 'ketiga', 'capres', 'hasilnya']",coba jumlah hasil tase tiga capres hasil
@YohanesUde,Akuilah keunggulan Prabowo Gibran,akuilah keunggulan prabowo gibran,"['akuilah', 'keunggulan', 'prabowo', 'gibran']","['akuilah', 'keunggulan', 'prabowo', 'gibran']",aku unggul prabowo gibran
@YohanesUde,"Prabowo Gibran siap lantai,jangan otak Atik, itu suara Rakyat",prabowo gibran siap lantaijangan otak atik itu suara rakyat,"['prabowo', 'gibran', 'siap', 'lantaijangan', 'otak', 'atik', 'itu', 'suara', 'rakyat']","['prabowo', 'gibran', 'lantaijangan', 'otak', 'atik', 'suara', 'rakyat']",prabowo gibran lantaijangan otak atik suara rakyat
@aaaaaa-fi3go,02.Mantul<br>wis wayae 2024.P.prabowo + Gibran <br>PRESIDEN,mantulwis wayae p prabowo gibran presiden,"['mantulwis', 'wayae', 'p', 'prabowo', 'gibran', 'presiden']","['mantulwis', 'wayae', 'p', 'prabowo', 'gibran', 'presiden']",mantulwis wayae p prabowo gibran presiden
@Qiano_Editz155,Prabowo,prabowo,['prabowo'],['prabowo'],prabowo
@imamkambali6196,Rakyat kecewa berat dng ulah pejabat curang sy mengikuti pemilu sejak th 1977 th ini paling terburuk,rakyat kecewa berat dengan ulah pejabat curang saya mengikuti pemilu sejak tahu tahu ini paling terburuk,"['rakyat', 'kecewa', 'berat', 'dengan', 'ulah', 'pejabat', 'curang', 'saya', 'mengikuti', 'pemilu', 'sejak', 'tahu', 'tahu', 'ini', 'paling', 'terburuk']","['rakyat', 'kecewa', 'berat', 'ulah', 'pejabat', 'curang', 'mengikuti', 'pemilu', 'terburuk']",rakyat kecewa berat ulah jabat curang ikut milu buruk
@imamkambali6196,Quik Qoun ini memecah belah Rakyat sok tau ( pinter) bro lu ngoceh opo lihaten kecurangan yg terjadi di bawah pejabat MK,quik qoun ini memecah belah rakyat sok tau pintar bro kamu mengoceh opo lihaten kecurangan yang terjadi di bawah pejabat maka,"['quik', 'qoun', 'ini', 'memecah', 'belah', 'rakyat', 'sok', 'tau', 'pintar', 'bro', 'kamu', 'mengoceh', 'opo', 'lihaten', 'kecurangan', 'yang', 'terjadi', 'di', 'bawah', 'pejabat', 'maka']","['quik', 'qoun', 'memecah', 'belah', 'rakyat', 'sok', 'tau', 'pintar', 'bro', 'mengoceh', 'opo', 'lihaten', 'kecurangan', 'pejabat']",quik qoun pecah belah rakyat sok tau pintar bro oceh opo lihaten curang jabat
@imamkambali6196,Yang curang semoga segera dilaknat pejabat yang mentang2 segera bertaubat karena tuhan tidak suka berhianat,yang curang semoga segera dilaknat pejabat yang mentang2 segera bertaubat karena tuhan tidak suka berhianat,"['yang', 'curang', 'semoga', 'segera', 'dilaknat', 'pejabat', 'yang', 'mentang2', 'segera', 'bertaubat', 'karena', 'tuhan', 'tidak', 'suka', 'berhianat']","['curang', 'semoga', 'dilaknat', 'pejabat', 'mentang2', 'bertaubat', 'tuhan', 'suka', 'berhianat']",curang moga laknat jabat mentang2 taubat tuhan suka berhianat
@dwi_raharjo,"Dalam kedisiplinan mematuhi aturan kesehatan, kita menunjukkan kepedulian terhadap masyarakat.",dalam kedisiplinan mematuhi aturan kesehatan kita menunjukkan kepedulian terhadap masyarakat,"['dalam', 'kedisiplinan', 'mematuhi', 'aturan', 'kesehatan', 'kita', 'menunjukkan', 'kepedulian', 'terhadap', 'masyarakat']","['kedisiplinan', 'mematuhi', 'aturan', 'kesehatan', 'kepedulian', 'masyarakat']",disiplin patuh atur sehat peduli masyarakat
@yandi_prataya,Pendidikan jarak jauh menawarkan alternatif belajar yang efektif,pendidikan jarak jauh menawarkan alternatif belajar yang efektif,"['pendidikan', 'jarak', 'jauh', 'menawarkan', 'alternatif', 'belajar', 'yang', 'efektif']","['pendidikan', 'jarak', 'menawarkan', 'alternatif', 'belajar', 'efektif']",didik jarak tawar alternatif ajar efektif
@inez_hauraa,"Melalui vaksinasi, kita melibatkan diri dalam upaya global melawan COVID-19.",melalui vaksinasi kita melibatkan diri dalam upaya global melawan covid,"['melalui', 'vaksinasi', 'kita', 'melibatkan', 'diri', 'dalam', 'upaya', 'global', 'melawan', 'covid']","['vaksinasi', 'melibatkan', 'upaya', 'global', 'melawan', 'covid']",vaksinasi libat upaya global lawan covid
@Wahyudi-t1b,"Di desa memang begtu, ap lgi perangkat kabupaten",di desa memang begtu apa lagi perangkat kabupaten,"['di', 'desa', 'memang', 'begtu', 'apa', 'lagi', 'perangkat', 'kabupaten']","['desa', 'begtu', 'perangkat', 'kabupaten']",desa begtu perangkat kabupaten
@ArniLpg-e7m,Kalau yg kalah pasti omong nya curang memang orang pilih Presiden nya yg lain Peresiden nya sombong,kalau yang kalah pasti omong ya curang memang orang pilih presiden ya yang lain peresiden ya sombong,"['kalau', 'yang', 'kalah', 'pasti', 'omong', 'ya', 'curang', 'memang', 'orang', 'pilih', 'presiden', 'ya', 'yang', 'lain', 'peresiden', 'ya', 'sombong']","['kalah', 'omong', 'curang', 'orang', 'pilih', 'presiden', 'peresiden', 'sombong']",kalah omong curang orang pilih presiden residen sombong
@dewisamsuliah9457,Penipuan berjamaah...mumpung berkuasa,penipuan berjamaah mumpung berkuasa,"['penipuan', 'berjamaah', 'mumpung', 'berkuasa']","['penipuan', 'berjamaah', 'mumpung', 'berkuasa']",tipu jamaah mumpung kuasa
@dharsonofarras5390,"Posisi Menang PasLon Capres dan Cawapres versi Quick Count  :<br>PasLon  01  :  Menang (isi nasib)<br>PasLon  02  :  Menang (merasa senang)<br>PasLon  03  :  Menang (gung malu)<br>mulai dari pemilu 2004 sampai dengan pemilu 2024 bagi PasLon yang kalah pasti selalu judul sinetron nya sama yaitu pemilu curang TSM ... lagu lama kaset kusut ,,, basi<br>hargai kerja keras petugas KPPS seluruh indonesia yang telah mengawal suara rakyat hasil demokrasi",posisi menang paslon capres dan cawapres versi quick count paslon menang isi nasibpaslon menang merasa senangpaslon menang gung malumulai dari pemilu sampai dengan pemilu bagi paslon yang kalah pasti selalu judul sinetron ya sama yaitu pemilu curang tsm lagu lama kaset kusut basihargai kerja keras petugas kpps seluruh indonesia yang telah mengawal suara rakyat hasil demokrasi,"['posisi', 'menang', 'paslon', 'capres', 'dan', 'cawapres', 'versi', 'quick', 'count', 'paslon', 'menang', 'isi', 'nasibpaslon', 'menang', 'merasa', 'senangpaslon', 'menang', 'gung', 'malumulai', 'dari', 'pemilu', 'sampai', 'dengan', 'pemilu', 'bagi', 'paslon', 'yang', 'kalah', 'pasti', 'selalu', 'judul', 'sinetron', 'ya', 'sama', 'yaitu', 'pemilu', 'curang', 'tsm', 'lagu', 'lama', 'kaset', 'kusut', 'basihargai', 'kerja', 'keras', 'petugas', 'kpps', 'seluruh', 'indonesia', 'yang', 'telah', 'mengawal', 'suara', 'rakyat', 'hasil', 'demokrasi']","['posisi', 'menang', 'paslon', 'capres', 'cawapres', 'versi', 'quick', 'count', 'paslon', 'menang', 'isi', 'nasibpaslon', 'menang', 'senangpaslon', 'menang', 'gung', 'malumulai', 'pemilu', 'pemilu', 'paslon', 'kalah', 'judul', 'sinetron', 'pemilu', 'curang', 'tsm', 'lagu', 'kaset', 'kusut', 'basihargai', 'kerja', 'keras', 'petugas', 'kpps', 'indonesia', 'mengawal', 'suara', 'rakyat', 'hasil', 'demokrasi']",posisi menang paslon capres cawapres versi quick count paslon menang isi nasibpaslon menang senangpaslon menang gung malumulai milu milu paslon kalah judul sinetron milu curang tsm lagu kaset kusut basihargai kerja keras tugas kpps indonesia awal suara rakyat hasil demokrasi
@DedekDedek-nu3wv,"Kubu 01 dan 03 pasti bilang pemilu ini curang,kalau pengin bukti kubu 01 dan 03 turun kesetiap daerah biar kubu 01 dan 03 dipermalukan rakyat",kubu dan pasti bilang pemilu ini curangkalau pengin bukti kubu dan turun kesetiap daerah biar kubu dan dipermalukan rakyat,"['kubu', 'dan', 'pasti', 'bilang', 'pemilu', 'ini', 'curangkalau', 'pengin', 'bukti', 'kubu', 'dan', 'turun', 'kesetiap', 'daerah', 'biar', 'kubu', 'dan', 'dipermalukan', 'rakyat']","['kubu', 'bilang', 'pemilu', 'curangkalau', 'pengin', 'bukti', 'kubu', 'turun', 'kesetiap', 'daerah', 'biar', 'kubu', 'dipermalukan', 'rakyat']",kubu bilang milu curangkalau pengin bukti kubu turun tiap daerah biar kubu malu rakyat
