Username,Comment,Normalisasi,Tokenization,Stopwords,Stemming
@win-bg1iv,terlalu dini merayakan kemenangan...masih banyak hal akan terjadi...jangan mimpi dulu bos...quick count itu sepihak..hhh,terlalu dini merayakan kemenangan masih banyak hal akan terjadi jangan mimpi dulu bos quick count itu sepihak hhh,"['terlalu', 'dini', 'merayakan', 'kemenangan', 'masih', 'banyak', 'hal', 'akan', 'terjadi', 'jangan', 'mimpi', 'dulu', 'bos', 'quick', 'count', 'itu', 'sepihak', 'hhh']","['merayakan', 'kemenangan', 'mimpi', 'bos', 'quick', 'count', 'hhh']",raya menang mimpi bos quick count hhh
@srirukanah,Beratnya ap sih cmn ngucapin selamat atas 02.. Koq muter2 gk jelas ttep mnyalahkan 02...,beratnya apa sih cuman mengucapkan selamat atas kok muter2 tidak jelas tetap mnyalahkan,"['beratnya', 'apa', 'sih', 'cuman', 'mengucapkan', 'selamat', 'atas', 'kok', 'muter2', 'tidak', 'jelas', 'tetap', 'mnyalahkan']","['beratnya', 'sih', 'cuman', 'selamat', 'muter2', 'mnyalahkan']",berat sih cuman selamat muter2 mnyalahkan
@adipetra1198,di kalimatan barat prabowo unggul,di kalimatan barat prabowo unggul,"['di', 'kalimatan', 'barat', 'prabowo', 'unggul']","['kalimatan', 'barat', 'prabowo', 'unggul']",kalimat barat prabowo unggul
@SiauwPohay,sdh terbukti nama bpk presiden Jokowi  besar bukan dari PDI.. presiden milik rakyat bukan petugaa partai..,sudah terbukti nama bpk presiden jokowi besar bukan dari pdi presiden milik rakyat bukan petugaa partai,"['sudah', 'terbukti', 'nama', 'bpk', 'presiden', 'jokowi', 'besar', 'bukan', 'dari', 'pdi', 'presiden', 'milik', 'rakyat', 'bukan', 'petugaa', 'partai']","['terbukti', 'nama', 'bpk', 'presiden', 'jokowi', 'pdi', 'presiden', 'milik', 'rakyat', 'petugaa', 'partai']",bukti nama bpk presiden jokowi pdi presiden milik rakyat petugaa partai
@bandungstore6859,"Prcuma ngadu, mahkamah kostitusinya juga kluarga firaun,",percuma mengadu mahkamah kostitusinya juga keluarga firaun,"['percuma', 'mengadu', 'mahkamah', 'kostitusinya', 'juga', 'keluarga', 'firaun']","['mengadu', 'mahkamah', 'kostitusinya', 'keluarga', 'firaun']",adu mahkamah kostitusinya keluarga firaun
@lalangofficial,No al 02 dan no al 03 menang 🤟🤟😢😢 nol 01 curang,no al dan no al menang nol curang,"['no', 'al', 'dan', 'no', 'al', 'menang', 'nol', 'curang']","['no', 'al', 'no', 'al', 'menang', 'nol', 'curang']",no al no al menang nol curang
@gerogegos-mt2mw,Aneh 01 curang curang hampir setiap tps yg di buka dulu kotak nya adalah presiden jadi masyarakat banyak menyasikan ...trus saksi nya ada dari pks klw Prabowo saksi nya justru masyarakat,aneh curang curang hampir setiap tps yang di buka dulu kotak ya adalah presiden jadi masyarakat banyak menyasikan terus saksi ya ada dari pks kalau prabowo saksi ya justru masyarakat,"['aneh', 'curang', 'curang', 'hampir', 'setiap', 'tps', 'yang', 'di', 'buka', 'dulu', 'kotak', 'ya', 'adalah', 'presiden', 'jadi', 'masyarakat', 'banyak', 'menyasikan', 'terus', 'saksi', 'ya', 'ada', 'dari', 'pks', 'kalau', 'prabowo', 'saksi', 'ya', 'justru', 'masyarakat']","['aneh', 'curang', 'curang', 'tps', 'buka', 'kotak', 'presiden', 'masyarakat', 'menyasikan', 'saksi', 'pks', 'prabowo', 'saksi', 'masyarakat']",aneh curang curang tps buka kotak presiden masyarakat sasi saksi pks prabowo saksi masyarakat
@wsq6546,"Yakin prabowo menang indonesia sejahtra pajak turun apa naik ,",yakin prabowo menang indonesia sejahtra pajak turun apa naik,"['yakin', 'prabowo', 'menang', 'indonesia', 'sejahtra', 'pajak', 'turun', 'apa', 'naik']","['prabowo', 'menang', 'indonesia', 'sejahtra', 'pajak', 'turun']",prabowo menang indonesia sejahtra pajak turun
@albertrudolfsaureh1794,01 n 03 TDK mengakui kekalahan.<br>Selalu mengatakan ada kecurangan.<br>TDK bisa terima kekalahan.,n tidak mengakui kekalahan selalu mengatakan ada kecurangan tidak bisa terima kekalahan,"['n', 'tidak', 'mengakui', 'kekalahan', 'selalu', 'mengatakan', 'ada', 'kecurangan', 'tidak', 'bisa', 'terima', 'kekalahan']","['n', 'mengakui', 'kekalahan', 'kecurangan', 'terima', 'kekalahan']",n aku kalah curang terima kalah
@firdausaja9661,Anies yg menang di KPU.,anies yang menang di kpu,"['anies', 'yang', 'menang', 'di', 'kpu']","['anies', 'menang', 'kpu']",anies menang kpu
