Timestamp,Username,VideoID,Comment,Date
2024-02-23T02:16:05Z,@mcjayawicara4422,Ua21uPr1eRc,"Alhamdulillah ,, Allah menyelamatkan NKRI dari org2 arogan picik oengecut yg tak ngaku kekalahannya. Dan berlindung dgn atas nama rakyat, an Demokrasi, .<br>Ya Allah imhamba beraerah diri dihadapan kekuasaanmu",2024-02-23T02:16:05Z
2024-02-22T12:33:50Z,@PUTRA_ADELLA,Ua21uPr1eRc,✌️✌️✌️✌️✌️✌️✌️✌️✌️🥰,2024-02-22T12:33:50Z
2024-02-22T10:38:14Z,@HpVivoY02-p1f,Ua21uPr1eRc,Siapa pun yg jd presiden tdk akan ngaruh bagi saya,2024-02-22T10:38:14Z
2024-02-22T08:34:21Z,@AbiCinta-v6e,Ua21uPr1eRc,❤❤❤❤ Prabowo gibran,2024-02-22T08:34:21Z
2024-02-22T03:25:42Z,@IksanIsmail-lm5td,Ua21uPr1eRc,1 cocok yg jdi presiden.,2024-02-22T03:25:42Z
2024-02-21T21:31:51Z,@PermataBerlian-z9w,Ua21uPr1eRc,Jgn cari alasan... kalau kalah akui saja. Buktinya saat kampaye puan bilang presiden ganjar jawab penonton presiden prabowo. Itu saja sudah terbukti masyarakat sudah tdk memilih ganjar.,2024-02-21T21:32:35Z
2024-02-21T21:29:10Z,@PermataBerlian-z9w,Ua21uPr1eRc,Karena ganjar terlalu angkuh dan sombong. Masyarakat bisa menilai sendiri tdk ada hubungannya dgn jokowi,2024-02-21T21:29:10Z
2024-02-21T20:06:30Z,@kaila7347,Ua21uPr1eRc,jujur ajj kalian klu Anies yg menang ko bisa2 nya salah infut,2024-02-21T20:06:30Z
2024-02-21T18:26:48Z,@Marthen-yh2su,Ua21uPr1eRc,SAYA TIDAK INGIN MEMILIH KARENA KEPALA DESA SEBAB SAYA MEMILIH PRESIDEN DENGAN HATI NURANI SEPERTI JIKA PIALA DUNIA TIM YG SAYA PILIH APAPUN YG TERJADI TETAP PILIH TIM YG SAYA ANDALKAN,2024-02-21T18:26:48Z
2024-02-21T17:11:51Z,@FajrRi8ii-ou5zy,Ua21uPr1eRc,Curang,2024-02-21T17:11:51Z
2024-02-21T14:49:24Z,@gatotriyanto4205,Ua21uPr1eRc,HASIL CEPAT YG DI BAYAR WOWO AKAN DI ADILI....RAKUYAT SELURUH INDONESIA SEDANG BERSATU ...AMIN,2024-02-21T14:49:24Z
2024-02-21T11:28:49Z,@bagussuryadi8324,Ua21uPr1eRc,Kl membahas wahabi okkkk❤,2024-02-21T11:28:49Z
2024-02-21T11:28:28Z,@bagussuryadi8324,Ua21uPr1eRc,❤❤❤❤,2024-02-21T11:28:28Z
2024-02-21T00:53:08Z,@rusakajor3858,Ua21uPr1eRc,Coba dijumlah hasil %tase dari ketiga capres hasilnya jadi berapa %,2024-02-21T00:53:08Z
2024-02-21T00:51:44Z,@YohanesUde,Ua21uPr1eRc,Akuilah keunggulan Prabowo Gibran,2024-02-21T00:51:44Z
2024-02-21T00:48:55Z,@YohanesUde,Ua21uPr1eRc,"Prabowo Gibran siap lantai,jangan otak Atik, itu suara Rakyat",2024-02-21T00:48:55Z
2024-02-20T22:41:57Z,@aaaaaa-fi3go,Ua21uPr1eRc,02.Mantul<br>wis wayae 2024.P.prabowo + Gibran <br>PRESIDEN,2024-02-20T22:41:57Z
2024-02-20T22:16:23Z,@Qiano_Editz155,Ua21uPr1eRc,Prabowo,2024-02-20T22:16:23Z
2024-02-20T18:37:41Z,@imamkambali6196,Ua21uPr1eRc,Rakyat kecewa berat dng ulah pejabat curang sy mengikuti pemilu sejak th 1977 th ini paling terburuk,2024-02-20T18:37:41Z
2024-02-20T18:26:38Z,@imamkambali6196,Ua21uPr1eRc,Quik Qoun ini memecah belah Rakyat sok tau ( pinter) bro lu ngoceh opo lihaten kecurangan yg terjadi di bawah pejabat MK,2024-02-20T18:26:38Z
2024-02-20T17:56:50Z,@imamkambali6196,Ua21uPr1eRc,Yang curang semoga segera dilaknat pejabat yang mentang2 segera bertaubat karena tuhan tidak suka berhianat,2024-02-20T17:56:50Z
2024-02-20T17:14:38Z,@dwi_raharjo,Ua21uPr1eRc,"Dalam kedisiplinan mematuhi aturan kesehatan, kita menunjukkan kepedulian terhadap masyarakat.",2024-02-20T17:14:38Z
2024-02-20T17:09:35Z,@yandi_prataya,Ua21uPr1eRc,Pendidikan jarak jauh menawarkan alternatif belajar yang efektif,2024-02-20T17:09:35Z
2024-02-20T16:56:18Z,@inez_hauraa,Ua21uPr1eRc,"Melalui vaksinasi, kita melibatkan diri dalam upaya global melawan COVID-19.",2024-02-20T16:56:18Z
2024-02-20T16:42:34Z,@Wahyudi-t1b,Ua21uPr1eRc,"Di desa memang begtu, ap lgi perangkat kabupaten",2024-02-20T16:42:34Z
2024-02-20T16:05:16Z,@ArniLpg-e7m,Ua21uPr1eRc,Kalau yg kalah pasti omong nya curang memang orang pilih Presiden nya yg lain Peresiden nya sombong,2024-02-20T16:05:16Z
2024-02-20T15:39:03Z,@dewisamsuliah9457,Ua21uPr1eRc,Penipuan berjamaah...mumpung berkuasa,2024-02-20T15:39:03Z
2024-02-20T15:22:18Z,@dharsonofarras5390,Ua21uPr1eRc,"Posisi Menang PasLon Capres dan Cawapres versi Quick Count  :<br>PasLon  01  :  Menang (isi nasib)<br>PasLon  02  :  Menang (merasa senang)<br>PasLon  03  :  Menang (gung malu)<br>mulai dari pemilu 2004 sampai dengan pemilu 2024 bagi PasLon yang kalah pasti selalu judul sinetron nya sama yaitu pemilu curang TSM ... lagu lama kaset kusut ,,, basi<br>hargai kerja keras petugas KPPS seluruh indonesia yang telah mengawal suara rakyat hasil demokrasi",2024-02-20T15:22:18Z
2024-02-20T14:38:15Z,@DedekDedek-nu3wv,Ua21uPr1eRc,"Kubu 01 dan 03 pasti bilang pemilu ini curang,kalau pengin bukti kubu 01 dan 03 turun kesetiap daerah biar kubu 01 dan 03 dipermalukan rakyat",2024-02-20T14:38:15Z
2024-02-20T14:33:46Z,@DedekDedek-nu3wv,Ua21uPr1eRc,"Paslon01 dan 03 jangan sekali2 mengancam 02 ,karna rakyat yg memilih",2024-02-20T14:33:46Z
2024-02-20T13:49:21Z,@ruspindi,Ua21uPr1eRc,Mengikuti,2024-02-20T13:49:21Z
2024-02-20T13:39:23Z,@ghilangrisky4045,Ua21uPr1eRc,Qufjfiw original 😅rifi iris halus di Boru idjgi i❤,2024-02-20T13:39:23Z
2024-02-20T13:01:17Z,@savidanfathan8992,Ua21uPr1eRc,Inilah suara rakyat.yang bilang curang.suruh turun ke desa desa dan tanya langsung ke rakyat. Siapa yang rakyat pilih pilpres tahun ini..jangan otak kotor,2024-02-20T13:01:17Z
2024-02-20T13:00:55Z,@IlyassamsulSamsul,Ua21uPr1eRc,"Yang kalah masti bingong? Maklum yg namanya orang kalah  bingong dan strees <a href=""https://www.youtube.com/watch?v=Ua21uPr1eRc&amp;t=1363"">22:43</a> s <a href=""https://www.youtube.com/watch?v=Ua21uPr1eRc&amp;t=1363"">22:43</a> s <a href=""https://www.youtube.com/watch?v=Ua21uPr1eRc&amp;t=1161"">19:21</a> y😮g nac",2024-02-20T13:00:55Z
2024-02-20T12:57:26Z,@Ndell01,Ua21uPr1eRc,"Heran kepingin amat jadi presiden,dah kalah2 aja mendingan ucapin sama yg menang",2024-02-20T12:57:26Z
2024-02-20T12:55:47Z,@MuhamadGm,Ua21uPr1eRc,An anjjs  a  anjs peresjkden kndo  n tangkal perabowo gjnran jokowj,2024-02-20T12:55:47Z
2024-02-20T12:52:30Z,@MuhamadGm,Ua21uPr1eRc,Añjķis ankjs lletesiden jndo,2024-02-20T12:52:30Z
2024-02-20T12:51:38Z,@MuhamadGm,Ua21uPr1eRc,😮ajakan  anjs pereskdanjan  anjjs perskkden  aanjj,2024-02-20T12:51:38Z
2024-02-20T12:49:39Z,@MuhamadGm,Ua21uPr1eRc,Tangkap jokkwj gkbran perabowo tNgkap  gannat menag dj sjl tra  anis petesjden jnsk,2024-02-20T12:49:39Z
2024-02-20T12:08:29Z,@cosmasmidi2079,Ua21uPr1eRc,saya heran ya sakwan2 kita yang mebgikutti kompentisi pilpris ini ketika kalah tidakmerasa puas iniyang saya herankan seharus kita harus lapangdada cubalah kitaberpikir yanglebih baiklagi yang kalah bearti tidak di ingankan masyarakat yang menang maka Itulah pulihan masyarakat kita ya maaf kawan kalausaya salah,2024-02-20T12:08:29Z
2024-02-20T09:16:00Z,@RoySitumorang-su4tm,Ua21uPr1eRc,Untut lembaga surpemu,2024-02-20T09:16:00Z
2024-02-20T07:58:08Z,@Csmframe,Ua21uPr1eRc,Curang ny dimana saya rakyat jawa antusias pilih 100% bpk prabowo gibran. Mau apa kalian apakalian tidak terima kekalahan. Kubu 01 dan kubu 03 jika ada pemilihan lagi pasti lebih tinggi dari angka yg di dapat 02  karna rakyat sudah pintar untk. memilih ingat itu.!!!,2024-02-20T07:58:08Z
2024-02-20T06:24:33Z,@ZhipoerMbf,Ua21uPr1eRc,Klu ada kecurangan kenapa harus nunggu selesai tinggal tidak terima hasil pemilu biar di afakan pemilu ulang beres biar gak lama lama,2024-02-20T06:24:33Z
2024-02-20T03:03:37Z,@supriyantobinramelan4109,Ua21uPr1eRc,"Siapapun presidennya bisa buat makmur negri ini. Terutama  BBM murah  Sembako murah ,,,terus jgn menangani covid seperti yg sudah  membuat rakyat hancur sampai sekarang ,,,",2024-02-20T03:03:37Z
2024-02-19T23:36:04Z,@iosghiims5861,Ua21uPr1eRc,"mafhum kita ketahui, seseorang selalu akan berbicara sesuai kepentingannya,itu normal.pemilihan kata dan intonasi digunakan untuk mempengaruhi pikiran orang meskipun orang yg JD target kebanyakan juga SDH paham tujuann si pembicara,,,itu normal kita ketahui bersama.,JD seru aja jika melihat ekspresi seseorang berbicara membuat alasan dgn intonasinya.😁",2024-02-19T23:36:04Z
2024-02-19T22:49:57Z,@AliMasud-ng3tv,Ua21uPr1eRc,Klo gk siap kalah jangan nyapres laaah (01),2024-02-19T22:49:57Z
2024-02-19T22:43:55Z,@Jufridjafar-c3s,Ua21uPr1eRc,Orang yg tidak mau menerima kekalahan maka orang trsbt todak cocok d jadikan pemimpin baik pemimpin negara juga Agama titik,2024-02-19T22:43:55Z
2024-02-19T20:01:43Z,@fithriya_tsabita1,Ua21uPr1eRc,Kondisi saat ini dalam perekonomian Indonesia memberikan sinyal positif pada inflasi (5)😢,2024-02-19T20:01:43Z
2024-02-19T17:46:48Z,@PujiPku-wo2eo,Ua21uPr1eRc,Periksa ketua kpu yg mempermsin kn suara rakyat,2024-02-19T17:46:48Z
2024-02-19T15:53:17Z,@ahongkoza3356,Ua21uPr1eRc,Saya rakyat Indonesia dari Indramayu dengan hati yang ikhlas memilih no 2,2024-02-19T15:53:17Z
2024-02-19T15:44:07Z,@hermawan776,Ua21uPr1eRc,Lanjut kan program ikn demi kemajuan indonesia di mata dunia,2024-02-19T15:44:07Z
2024-02-19T15:24:38Z,@AbertNego-l1p,Ua21uPr1eRc,Ah ! Kalaopun g pemilu Bansos itu memang ada kan ?.,2024-02-19T15:24:38Z
2024-02-19T15:09:17Z,@nursyam3196,Ua21uPr1eRc,Emang klau kita berkompetisi harus ad yg menang ad g kalah tp yg kalah selalu g terima itulah manusia tdk ad kepuasan,2024-02-19T15:09:17Z
2024-02-19T14:37:40Z,@HasanNusi-qn5ci,Ua21uPr1eRc,Prabowo Gibran,2024-02-19T14:37:40Z
2024-02-19T13:45:33Z,@TiaTiara-o4w,Ua21uPr1eRc,Sekarang rakyat indonesia sudah cerdas kebanyakan memilih peresiden bpk prabowo termasuk saya yg memilih 02 astung kare orang bali bilang atau bersukur  pak prabowo menag mutlak salam sehat sy orang bali yg merantau kelampung,2024-02-19T13:45:33Z
2024-02-19T13:30:00Z,@awiaulia8722,Ua21uPr1eRc,Pospol nmr 2 yg unggul ya nmx ju perlombaan pasti ada yg kalah dan ada menang.,2024-02-19T13:30:00Z
2024-02-19T12:16:25Z,@bambangsuswanto,Ua21uPr1eRc,"Bedah partai, bedah presiden,jangan dipaksakan.",2024-02-19T12:16:25Z
2024-02-19T12:12:38Z,@bambangsuswanto,Ua21uPr1eRc,"Sulawesi,prabowo,gibran.menang .",2024-02-19T12:12:38Z
2024-02-19T12:08:26Z,@bambangsuswanto,Ua21uPr1eRc,"Tapi ini bedah jauh bos,terimah saja.",2024-02-19T12:08:26Z
2024-02-19T12:04:28Z,@bambangsuswanto,Ua21uPr1eRc,"Bedah,jauh bos,terimah kekalahannya.",2024-02-19T12:04:28Z
2024-02-19T11:57:08Z,@LastryFal,Ua21uPr1eRc,Alhamdullilah prabowo jadi prediden,2024-02-19T11:57:08Z
2024-02-19T11:57:04Z,@bambangsuswanto,Ua21uPr1eRc,Sudah mubasir bos,2024-02-19T11:57:04Z
2024-02-19T09:02:41Z,@EmiEmi-tp2eg,Ua21uPr1eRc,sblm rakyat brtndk harus ada putaran kedua,2024-02-19T09:02:41Z
2024-02-19T08:57:42Z,@EmiEmi-tp2eg,Ua21uPr1eRc,pemilu terburuk yg pernah ada,2024-02-19T08:57:42Z
2024-02-19T08:45:44Z,@AZISNaba.,Ua21uPr1eRc,AZIS  NAba,2024-02-19T08:45:44Z
2024-02-19T08:35:50Z,@FerdiandisemaSema,Ua21uPr1eRc,"Semoga pilihan calon presiden ,berjalan lancar dan juga aman terkendali n kondusif.fas@",2024-02-19T08:35:50Z
2024-02-19T08:22:31Z,@Taaaa-ojousama,Ua21uPr1eRc,Kalau kalah ya yang jelek2keluar.....padahal yang jelek 2 ni semua udah tau tapi apa yang udah di berikan buat negara ...ngomong pinter .!kalau dah dikasih jabatan ya begitu itulah ...,2024-02-19T08:22:31Z
2024-02-19T07:16:51Z,@rosyidady5102,Ua21uPr1eRc,Ngikut aja lah..,2024-02-19T07:16:51Z
2024-02-19T06:20:56Z,@RasimHj.mintra,Ua21uPr1eRc,Itu si Surya orang gila&#39; nganggap reme sama orang lain blm tentu dia mampuh..,2024-02-19T06:20:56Z
2024-02-19T04:36:43Z,@Soang12,Ua21uPr1eRc,Udh Kalah Kalah aja 01 03 trima kenyataan GA usah CA ci cu,2024-02-19T04:36:43Z
2024-02-19T04:07:07Z,@zullpikar-mt9yt,Ua21uPr1eRc,50.83,2024-02-19T04:07:07Z
2024-02-19T04:06:51Z,@zullpikar-mt9yt,Ua21uPr1eRc,Julie. Yes. Hang. Curing. At. Tina&#39;s. Kds,2024-02-19T04:06:51Z
2024-02-19T04:05:27Z,@zullpikar-mt9yt,Ua21uPr1eRc,57.76p,2024-02-19T04:05:27Z
2024-02-19T04:04:57Z,@zullpikar-mt9yt,Ua21uPr1eRc,59.49,2024-02-19T04:04:57Z
2024-02-19T04:03:45Z,@zullpikar-mt9yt,Ua21uPr1eRc,Hangar. Curing. P. Hiring. Sure AZ,2024-02-19T04:03:45Z
